dc,customer,mode,flow
D1,C1,road,1118.1814949601733
D1,C1,rail,64.63935395374345
D1,C2,road,358.61597751143086
D1,C2,rail,832.8389671244045
D1,C3,road,117.18168422237343
D1,C3,rail,1008.0710803098893
D1,C4,road,430.8182515213006
D1,C4,rail,143.89381337346003
D1,C5,road,251.42415250184087
D1,C5,rail,741.7702817179696
D2,C1,road,690.0001216288708
D2,C1,rail,462.10349761453256
D2,C2,road,224.42305976626483
D2,C2,rail,927.9005913528086
D2,C3,road,728.3621423854232
D2,C3,rail,365.7992533769048
D2,C4,road,427.77578025171374
D2,C4,rail,253.94044505532972
D2,C5,road,253.95031373750956
D2,C5,rail,754.7228534157655
D3,C1,road,629.2882213760253
D3,C1,rail,580.3240583146578
D3,C2,road,565.9849953042665
D3,C2,rail,577.3273195870066
D3,C3,road,804.9572526730251
D3,C3,rail,275.1542537452389
D3,C4,road,105.72020869948601
D3,C4,rail,500.8782762439924
D3,C5,road,964.0486301526282
D3,C5,rail,94.56184951043028
