dc,customer,mode,flow
D1,C1,road,13.324184908897887
D1,C1,rail,47.00396113975735
D1,C2,road,2.3624218818796923
D1,C2,rail,45.21285550797632
D1,C3,road,15.334359827320846
D1,C3,rail,49.57071527182221
D1,C4,road,87.13124973100074
D1,C4,rail,4.155369377219863
D1,C5,road,28.140764256866287
D1,C5,rail,17.18814896722092
D2,C1,road,48.565937499400185
D2,C1,rail,3.946367147359627
D2,C2,road,46.4912135082039
D2,C2,rail,42.99177187154645
D2,C3,road,37.83635725399031
D2,C3,rail,42.38192391894665
D2,C4,road,45.35560131664035
D2,C4,rail,23.76666725567989
D2,C5,road,44.07709858805842
D2,C5,rail,5.8091189441114555
D3,C1,road,33.30730101178131
D3,C1,rail,15.591362936272656
D3,C2,road,26.855031680614704
D3,C2,rail,45.559622735337825
D3,C3,road,48.0915999637489
D3,C3,rail,21.745548519224283
D3,C4,road,6.857509852185705
D3,C4,rail,56.377442588573274
D3,C5,road,10.553416165326285
D3,C5,rail,78.059789020029
