dc,customer,mode,flow
D1,C1,road,4.4700967296220995
D1,C1,rail,47.13213965720157
D1,C2,road,5.96200273373175
D1,C2,rail,59.283095402359514
D1,C3,road,13.428904848290552
D1,C3,rail,56.83816458012705
D1,C4,road,44.54996108525347
D1,C4,rail,1.4571132192678946
D1,C5,road,27.646040170065547
D1,C5,rail,17.20971603479819
D2,C1,road,48.06912623007299
D2,C1,rail,3.911718063784373
D2,C2,road,46.46307506388313
D2,C2,rail,41.38865132664653
D2,C3,road,7.639688980492615
D2,C3,rail,40.78885952608174
D2,C4,road,48.53292085997778
D2,C4,rail,23.631274733610542
D2,C5,road,40.540740066438616
D2,C5,rail,0.43928780207612883
D3,C1,road,32.86898585981529
D3,C1,rail,7.380593039645856
D3,C2,road,26.364041236287406
D3,C2,rail,43.99474851730375
D3,C3,road,47.36339621123587
D3,C3,rail,21.624950233310884
D3,C4,road,6.583114059653267
D3,C4,rail,56.26864303914116
D3,C5,road,1.3912990229996938
D3,C5,rail,77.32493255044571
