dc,customer,mode,flow
D1,C1,road,2.1573250636123675
D1,C1,rail,25.75515025404606
D1,C2,road,2.4028722674214134
D1,C2,rail,44.43587325747583
D1,C3,road,12.082758780637821
D1,C3,rail,58.44483428947438
D1,C4,road,40.48027919742481
D1,C4,rail,4.366976482746974
D1,C5,road,4.489443299757698
D1,C5,rail,17.36032337703851
D2,C1,road,21.452848752183172
D2,C1,rail,3.953429980889311
D2,C2,road,8.202337532061005
D2,C2,rail,43.3225145655855
D2,C3,road,9.609100013616851
D2,C3,rail,40.77906803279477
D2,C4,road,2.1897643344383315
D2,C4,rail,46.58956355041687
D2,C5,road,1.5151617903124317
D2,C5,rail,10.881100165964625
D3,C1,road,20.26762345265562
D3,C1,rail,14.784288327593128
D3,C2,road,10.062210859241121
D3,C2,rail,47.03808776684852
D3,C3,road,35.194760485207034
D3,C3,rail,9.608676574723992
D3,C4,road,9.284989674518052
D3,C4,rail,0.9727397342543256
D3,C5,road,9.23584971118694
D3,C5,rail,123.8313732255492
